id,zone,latitude,longitude,species_name,date,time,sample_size
1,38S,269728,4412873,Mustela_nivalis ,7.04.2014,08:15,1
2,38S,273772,4411981,Canis_lupus,7.04.2014,11:20,1
3,38S,275110,4413183,Sus_scrofa,7.04.2014,10:40,6
3,38S,275110,4413183,Vulpes_vulpes,7.04.2014,08:25,1
4,38S,280758,4385430,Martes_martes,19.05.2014,12:30,1
5,38S,280844,4405516,Canis_aureus,23.12.2014,09:50,2
5,38S,280844,4405516,Ursus_arctos,23.12.2014,11:22,1
6,38S,281424,4405223,Canis_aureus,8.07.2014,07:15,1
7,38S,282355,4389834,Canis_aureus,19.05.2014,17:10,1
7,38S,282355,4389834,Sus_scrofa,19.05.2014,11:40,21
8,38S,284037,4390270,Canis_lupus,3.10.2014,12:20,1
9,38S,284265,4383512,Ursus_arctos,19.05.2014,12:22,1
10,38S,284336,4406159,Vulpes_vulpes,12.07.2014,09:25,1
11,38S,285017,4407714,Capra_aegagrus,23.12.2014,07:18,28
12,38S,288082,4408429,Mustela_nivalis,21.04.2014,09:15,1
13,38S,289119,4408250,Capra_aegagrus,7.07.2014,05:40,13
14,38S,289578,4382289,Sus_scrofa,18.05.2014,12:40,6
14,38S,289578,4382289,Vulpes_vulpes,18.05.2014,10:25,1
15,38S,292630,4407995,Spermophilus_xanthoprymnus,7.07.2014,10:50,3
16,38S,293569,4417515,Capra_aegagrus,7.07.2014,12:20,6
17,38S,293884,4400786,Vulpes_vulpes,4.05.2014,11:25,1
18,38S,294019,4364448,Vulpes_vulpes,7.07.2014,12:25,1
19,38S,294779,4359307,Canis_lupus,6.07.2014,13:20,1
19,38S,294779,4359307,Lepus_europaeus,6.07.2014,13:30,1
20,38S,294876,4401434,Canis_lupus,7.07.2014,14:20,1
20,38S,294876,4401434,Lepus_europaeus,7.07.2014,14:30,1
21,38S,295093,4414168,Lepus_europaeus,4.10.2014,15:30,1
21,38S,295093,4414168,Vulpes_vulpes,4.10.2014,13:25,1
22,38S,295636,4410900,Canis_aureus,7.07.2014,08:25,2
22,38S,295636,4410900,Spermophilus_xanthoprymnus,7.07.2014,11:50,1
23,38S,295771,4379220,Vulpes_vulpes,7.08.2014,14:25,2
24,38S,296046,4366348,Lepus_europaeus,22.03.2014,16:30,1
24,38S,296046,4366348,Vulpes_vulpes,22.03.2014,15:25,1
25,38S,297360,4402495,Lepus_europaeus,11.03.2014,17:30,1
25,38S,297360,4402495,Martes_martes,11.03.2014,13:30,2
26,38S,297377,4381067,Ursus_arctos,3.10.2014,13:22,4
27,38S,297617,4314685,Canis_lupus,19.05.2014,15:20,1
28,38S,298261,4408491,Mustela_nivalis,5.05.2014,10:15,1
29,38S,298320,4405015,Vulpes_vulpes,12.05.2014,16:25,1
30,38S,298463,4381063,Canis_aureus,17.05.2014,17:15,1
31,38S,298998,4306232,Canis_aureus,13.09.2014,09:35,2
31,38S,298998,4306232,Lepus_europaeus,13.09.2014,18:30,1
31,38S,298998,4306232,Ursus_arctos,13.09.2014,14:22,1
32,38S,299060,4311675,Canis_lupus,13.09.2014,16:20,1
32,38S,299060,4311675,Lepus_europaeus,13.09.2014,19:30,1
33,38S,300191,4360667,Vulpes_vulpes,13.04.2014,17:25,1
34,38S,300994,4367278,Vulpes_vulpes,5.05.2014,18:25,1
35,38S,301183,4406987,Vulpes_vulpes,12.05.2014,19:25,1
36,38S,301695,4307105,Ursus_arctos,5.10.2014,15:22,1
37,38S,302223,4407619,Sus_scrofa,22.03.2014,13:40,1
38,38S,302696,4357975,Spermophilus_xanthoprymnus,13.04.2014,12:50,7
39,38S,302951,4418110,Spermophilus_xanthoprymnus,3.10.2014,13:50,5
39,38S,302951,4418110,Vulpes_vulpes,3.10.2014,20:25,1
40,38S,303154,4401239,Ursus_arctos,9.04.2014,16:22,1
41,38S,303907,4380157,Vulpes_vulpes,17.05.2014,21:25,1
42,38S,304407,4319942,Sus_scrofa,5.10.2014,14:40,18
42,38S,304407,4319942,Vulpes_vulpes,5.10.2014,22:25,1
43,38S,304557,4320902,Spermophilus_xanthoprymnus,21.05.2014,14:50,1
43,38S,304557,4320902,Sus_scrofa,21.05.2014,15:40,1
43,38S,304557,4320902,Vulpes_vulpes,21.05.2014,23:25,1
44,38S,304964,4334891,Canis_aureus,22.06.2014,16:05,1
44,38S,304964,4334891,Meles_meles,22.06.2014,15:20,1
45,38S,305424,4416596,Lepus_europaeus,20.03.2014,20:30,1
45,38S,305424,4416596,Ursus_arctos,20.03.2014,17:22,1
46,38S,305923,4358220,Vulpes_vulpes,27.09.2014,00:25,1
47,38S,306094,4358835,Lutra_lutra,9.04.2014,06:00,1
48,38S,306270,4406819,Lepus_europaeus,7.08.2014,21:30,3
49,38S,307388,4365826,Sus_scrofa,23.12.2014,16:40,16
50,38S,307416,4318424,Sus_scrofa,13.05.2014,17:40,1
50,38S,307416,4318424,Vulpes_vulpes,13.05.2014,01:25,1
51,38S,307901,4369868,Vulpes_vulpes,7.07.2014,02:25,1
52,38S,307964,4369555,Lepus_europaeus,20.04.2014,22:30,1
52,38S,307964,4369555,Sus_scrofa,20.04.2014,18:40,7
52,38S,307964,4369555,Vulpes_vulpes,20.04.2014,03:25,1
53,38S,308236,4379295,Vulpes_vulpes,27.09.2014,04:25,1
54,38S,308238,4405656,Vulpes_vulpes,9.04.2014,05:25,1
55,38S,308380,4378036,Vulpes_vulpes,6.07.2014,06:25,1
56,38S,308505,4351985,Sus_scrofa,13.06.2014,19:40,45
57,38S,308533,4377500,Canis_lupus,7.07.2014,17:20,1
58,38S,308592,4377530,Vulpes_vulpes,22.03.2014,07:25,1
59,38S,309111,4318641,Vulpes_vulpes,13.05.2014,08:25,1
60,38S,309530,4350451,Sciurus_anomalus,11.03.2014,17:45,4
61,38S,310470,4349305,Vulpes_vulpes,13.06.2014,09:25,1
62,38S,310655,4364995,Spermophilus_xanthoprymnus,6.07.2014,15:50,2
63,38S,310764,4340890,Vulpes_vulpes,6.07.2014,10:25,1
64,38S,310993,4318630,Canis_lupus,13.05.2014,18:20,3
65,38S,311084,4401774,Canis_lupus,7.07.2014,19:20,1
65,38S,310993,4318630,Sus_scrofa,13.05.2014,20:40,11
66,38S,311266,4347880,Capra_aegagrus,21.03.2014,16:10,15
67,38S,312585,4345904,Lepus_europaeus,11.03.2014,23:30,1
67,38S,312585,4345904,Vulpes_vulpes,11.03.2014,11:25,1
68,38S,312713,4378504,Capra_aegagrus,4.10.2014,05:20,9
69,38S,313455,4324148,Vulpes_vulpes,21.06.2014,12:25,1
70,38S,314750,4330752,Sus_scrofa,21.06.2014,21:40,1
71,38S,315591,4333227,Lepus_europaeus,14.06.2014,00:30,2
71,38S,315591,4333227,Vulpes_vulpes,14.06.2014,13:25,1
72,38S,316469,4401586,Mustela_nivalis,5.05.2014,11:15,1
73,38S,316933,4345762,Vulpes_vulpes,14.04.2014,14:25,1
74,38S,317295,4379819,Capra_aegagrus,22.03.2014,16:25,3
75,38S,317328,4330183,Lepus_europaeus,12.03.2014,01:30,1
75,38S,317328,4330183,Vulpes_vulpes,12.03.2014,15:25,1
76,38S,317991,4326862,Ursus_arctos,20.06.2014,18:22,3
77,38S,319356,4325325,Lepus_europaeus,20.06.2014,02:30,1
77,38S,315707,4325988,Meles_meles,21.06.2014,16:20,1
78,38S,319606,4348965,Sciurus_anomalus,8.04.2014,18:45,3
78,38S,319606,4348965,Vulpes_vulpes,8.04.2014,16:25,1
79,38S,319751,4368661,Vulpes_vulpes,8.04.2014,17:25,1
80,38S,320608,4401058,Erinaceus_concolor,21.04.2014,06:10,1
81,38S,321207,4384260,Lutra_lutra,6.07.2014,07:00,1
82,38S,321318,4322781,Sus_scrofa,12.03.2014,22:40,7
82,38S,321318,4322781,Vulpes_vulpes,12.03.2014,18:25,1
83,38S,321942,4306411,Ursus_arctos,5.10.2014,19:22,1
84,38S,322403,4349442,Lepus_europaeus,12.09.2014,03:30,1
84,38S,322403,4349442,Vulpes_vulpes,12.09.2014,19:25,1
85,38S,322534,4400936,Meles_meles,7.07.2014,17:20,1
86,38S,322596,4417560,Vulpes_vulpes,9.07.2014,20:25,4
87,38S,322877,4305756,Meles_meles,5.10.2014,18:20,1
88,38S,324795,4316596,Mustela_nivalis,5.10.2014,12:15,1
89,38S,325461,4416469,Lepus_europaeus,8.07.2014,04:30,4
90,38S,325815,4305780,Canis_lupus,5.10.2014,20:20,1
91,38S,326265,4317059,Canis_lupus,5.10.2014,21:20,1
92,38S,326397,4312638,Vulpes_vulpes,5.10.2014,21:25,1
93,38S,327216,4411811,Canis_lupus,9.07.2014,22:20,1
94,38S,328598,4387723,Sus_scrofa,18.05.2014,23:40,12
95,38S,330048,4405367,Erinaceus_concolor,9.07.2014,07:10,2
96,38S,330061,4392490,Canis_aureus,12.03.2014,11:20,1
96,38S,330061,4392490,Sus_scrofa,12.03.2014,00:40,1
97,38S,330266,4341130,Sus_scrofa,22.06.2014,01:40,25
98,38S,331235,4385759,Erinaceus_concolor,17.05.2014,08:10,1
98,38S,331235,4385759,Vulpes_vulpes,17.05.2014,22:25,1
99,38S,331725,4373432,Sus_scrofa,14.04.2014,02:40,3
99,38S,331725,4373432,Vulpes_vulpes,14.04.2014,23:25,1
100,38S,331978,4359858,Spermophilus_xanthoprymnus,23.10.2014,16:50,5
100,38S,331978,4359858,Vulpes_vulpes,23.10.2014,00:25,1
101,38S,331992,4400478,Vulpes_vulpes,12.03.2014,01:25,1
102,38S,332198,4358237,Vulpes_vulpes,23.10.2014,02:25,1
103,38S,332221,4338280,Canis_lupus,22.06.2014,23:20,1
104,38S,332308,4401723,Vulpes_vulpes,11.03.2014,03:25,1
105,38S,332696,4375647,Vulpes_vulpes,13.07.2014,04:25,3
106,38S,333154,4373608,Sus_scrofa,13.07.2014,03:40,1
106,38S,333154,4373608,Ursus_arctos,13.07.2014,20:22,1
107,38S,333553,4419388,Canis_lupus,9.07.2014,00:20,1
108,38S,334271,4402941,Canis_lupus,31.05.2014,01:20,1
109,38S,334594,4392634,Spermophilus_xanthoprymnus,11.07.2014,17:50,1
109,38S,334594,4392634,Vulpes_vulpes,11.07.2014,05:25,1
110,38S,334609,4417483,Lepus_europaeus,11.10.2014,05:30,1
110,38S,334609,4417483,Vulpes_vulpes,11.10.2014,06:25,1
111,38S,335159,4405663,Canis_lupus,17.05.2014,02:20,1
111,38S,335159,4405663,Erinaceus_concolor,17.05.2014,09:10,1
112,38S,335743,4406086,Vulpes_vulpes,22.08.2014,07:25,1
113,38S,335825,4411099,Sus_scrofa,9.07.2014,04:40,27
114,38S,336077,4409746,Vulpes_vulpes,8.08.2014,08:25,1
115,38S,336281,4417626,Canis_aureus,4.09.2014,14:36,1
116,38S,336902,4383854,Lutra_lutra,17.10.2014,08:00,1
117,38S,339215,4372371,Lynx_lynx,18.10.2014,15:20,1
117,38S,339215,4372371,Sus_scrofa,18.10.2014,05:40,1
118,38S,340000,4418121,Erinaceus_concolor,5.09.2014,10:10,1
118,38S,340000,4418121,Ursus_arctos,5.09.2014,21:22,2
119,38S,340257,4375954,Lepus_europaeus,17.10.2014,06:30,1
119,38S,340257,4375954,Vulpes_vulpes,17.10.2014,09:25,1
120,38S,340398,4412497,Vulpes_vulpes,6.07.2014,10:25,1
121,38S,341327,4373491,Mustela_nivalis,18.10.2014,13:15,2
122,38S,341429,4397947,Meles_meles,4.05.2014,19:20,1
123,38S,345397,4347244,Canis_lupus,3.10.2014,03:20,1
124,38S,345549,4419465,Vulpes_vulpes,29.10.2014,11:25,1
125,38S,346179,4420922,Lepus_europaeus,23.08.2014,07:30,1
125,38S,346179,4420922,Vulpes_vulpes,23.08.2014,12:25,1
126,38S,346238,4346334,Lepus_europaeus,3.10.2014,08:30,2
126,38S,346238,4346334,Lutra_lutra,3.10.2014,09:00,1
127,38S,347830,4398542,Sus_scrofa,11.11.2014,06:40,1
128,38S,348920,4391386,Lepus_europaeus,24.07.2014,09:30,1
129,38S,349633,4393255,Mustela_nivalis,24.07.2014,,1
130,38S,350470,4396296,Ursus_arctos,10.11.2014,22:22,1
131,38S,350491,4404186,Vulpes_vulpes,4.10.2014,13:25,2
132,38S,350646,4372619,Vulpes_vulpes,11.07.2014,14:25,1
133,38S,351089,4393682,Mustela_nivalis,4.05.2014,15:15,1
134,38S,351249,4368058,Mustela_nivalis,11.07.2014,16:15,1
135,38S,351253,4423623,Lepus_europaeus,29.10.2014,10:30,1
136,38S,351848,4374971,Erinaceus_concolor,6.07.2014,11:10,1
137,38S,352286,4378708,Lutra_lutra,11.07.2014,10:00,1
138,38S,352354,4399101,Canis_lupus,10.11.2014,04:20,1
139,38S,352964,4400293,Meles_meles,10.11.2014,20:20,1
140,38S,358559,4385469,Canis_lupus,8.07.2014,05:20,3
141,38S,359928,4387630,Capra_aegagrus,26.09.2014,07:20,11
141,38S,359928,4387630,Vulpes_vulpes,26.09.2014,15:25,1
142,38S,363688,4392381,Canis_lupus,15.08.2014,06:20,1
143,38S,363741,4388205,Vulpes_vulpes,4.05.2014,16:25,1
144,38S,364601,4394866,Mustela_nivalis,11.07.2014,17:15,2
144,38S,364601,4394866,Vulpes_vulpes,11.07.2014,17:25,1
145,38S,364892,4383099,Capra_aegagrus,8.07.2014,07:05,2
146,38S,365827,4383853,Erinaceus_concolor,13.04.2014,12:10,1
147,38S,366221,4386507,Erinaceus_concolor,16.08.2014,13:10,3
148,38S,369811,4370076,Lepus_europaeus,10.07.2014,11:30,3
149,38S,369904,4399187,Lynx_lynx,12.03.2014,16:20,1
150,38S,370698,4358878,Ursus_arctos,14.09.2014,23:22,1
151,38S,370720,4369540,Lepus_europaeus,29.05.2014,12:30,1
151,38S,370720,4369540,Vulpes_vulpes,29.05.2014,18:25,1
152,38S,370721,4401539,Canis_aureus,20.03.2014,09:45,1
152,38S,370721,4401539,Capra_aegagrus,20.03.2014,16:20,6
153,38S,370760,4358940,Meles_meles,14.09.2014,21:20,1
154,38S,371275,4386688,Vulpes_vulpes,18.05.2014,19:25,1
155,38S,372217,4401998,Canis_lupus,17.10.2014,07:20,1
155,38S,372217,4401998,Lepus_europaeus,17.10.2014,13:30,1
156,38S,374538,4402261,Lynx_lynx,20.03.2014,17:20,1
157,38S,375262,4399317,Lepus_europaeus,18.10.2014,14:30,1
157,38S,375262,4399317,Meles_meles,18.10.2014,22:20,1
158,38S,375769,4357893,Capra_aegagrus,28.10.2014,15:28,17
159,38S,376668,4359030,Vulpes_vulpes,28.10.2014,20:25,1
160,38S,377427,4363869,Spermophilus_xanthoprymnus,28.10.2014,18:50,1
160,38S,377427,4363869,Vulpes_vulpes,28.10.2014,21:25,1
161,38S,378147,4364126,Canis_lupus,30.05.2014,08:20,1
162,38S,378841,4371724,Canis_lupus,10.07.2014,09:20,1
162,38S,378841,4371724,Capra_aegagrus,10.07.2014,10:50,19
163,38S,380495,4338212,Canis_lupus,5.05.2014,10:20,1
164,38S,381466,4372472,Capra_aegagrus,10.07.2014,14:30,12
164,38S,381466,4372472,Lepus_europaeus,10.07.2014,15:30,1
164,38S,381466,4372472,Vulpes_vulpes,10.07.2014,22:25,1
165,38S,382465,4371306,Meles_meles,6.07.2014,23:20,1
166,38S,383694,4372587,Capra_aegagrus,11.07.2014,16:15,7
167,38S,383837,4372371,Lutra_lutra,9.08.2014,11:00,1
167,38S,383837,4372371,Vulpes_vulpes,9.08.2014,23:25,1
168,38S,383904,4372163,Vulpes_vulpes,16.08.2014,00:25,1
169,38S,384616,4384133,Ursus_arctos,17.05.2014,00:22,3
170,38S,384619,4373124,Ursus_arctos,30.05.2014,01:22,1
171,38S,384884,4344527,Meles_meles,5.05.2014,00:20,1
172,38S,385364,4373421,Vulpes_vulpes,15.11.2014,01:25,1
173,38S,385949,4348133,Vulpes_vulpes,5.10.2014,02:25,1
174,38S,386626,4344550,Canis_lupus,28.10.2014,11:20,1
175,38S,388073,4372705,Lepus_europaeus,28.10.2014,16:30,1
175,38S,388073,4372705,Vulpes_vulpes,28.10.2014,03:25,1
176,38S,389683,4342405,Erinaceus_concolor,29.10.2014,14:10,1
176,38S,389683,4342405,Lepus_europaeus,29.10.2014,17:30,1
176,38S,389683,4342405,Vulpes_vulpes,29.10.2014,04:25,2
177,38S,391379,4370261,Meles_meles,4.10.2014,01:20,1
178,38S,391750,4354617,Sus_scrofa,28.10.2014,07:40,4
179,38S,391851,4358521,Lepus_europaeus,28.10.2014,18:30,1
180,38S,392120,4389320,Lepus_europaeus,12.07.2014,19:30,1
181,38S,392727,4357376,Erinaceus_concolor,28.10.2014,15:10,1
181,38S,392727,4357376,Spermophilus_xanthoprymnus,23.05.2014,19:50,3
182,38S,392991,4350834,Vulpes_vulpes,12.04.2014,05:25,1
183,38S,393189,4369087,Sus_scrofa,28.10.2014,08:40,1
184,38S,393385,4390452,Sus_scrofa,17.09.2014,09:40,14
185,38S,393472,4346379,Erinaceus_concolor,23.05.2014,16:10,3
186,38S,408641,4379816,Canis_aureus,18.09.2014,07:30,1
186,38S,394019,4367417,Lutra_lutra,4.05.2014,12:00,1
187,38S,396127,4387663,Mustela_nivalis,17.09.2014,18:15,1
188,38S,398080,4381261,Vulpes_vulpes,9.07.2014,06:25,1
189,38S,408641,4379816,Lepus_europaeus,18.09.2014,20:30,1
190,38S,411308,4387935,Erinaceus_concolor,17.09.2014,17:10,1
190,38S,411308,4387935,Vulpes_vulpes,17.09.2014,07:25,1
191,38S,412519,4362491,Sus_scrofa,2.06.2014,10:40,1
192,38S,412542,4377260,Vulpes_vulpes,5.05.2014,08:25,1
193,38S,412614,4358143,Lepus_europaeus,1.06.2014,21:30,1
194,38S,413196,4365259,Vulpes_vulpes,2.06.2014,09:25,1
195,38S,413196,4373768,Canis_aureus,1.06.2014,09:50,1
195,38S,413196,4373768,Lepus_europaeus,1.06.2014,22:30,1
196,38S,413316,4386832,Vulpes_vulpes,17.09.2014,10:25,1
197,38S,413649,4375891,Vulpes_vulpes,1.06.2014,11:25,1
198,38S,414157,4357016,Spermophilus_xanthoprymnus,1.06.2014,20:50,1
199,38S,414482,4371318,Vulpes_vulpes,1.06.2014,12:25,1
200,38S,418514,4391131,Vulpes_vulpes,14.11.2014,13:25,1
201,38S,419007,4383634,Mustela_nivalis,29.10.2014,19:15,1
201,38S,419761,4375856,Ursus_arctos,9.08.2014,17:25,1
202,38S,421222,4376242,Canis_aureus,31.05.2014,09:25,1
203,38S,421941,4371764,Spermophilus_xanthoprymnus,31.05.2014,21:50,2
204,38S,422502,4370587,Erinaceus_concolor,12.09.2014,18:10,1
205,38S,422502,4370587,Vulpes_vulpes,12.09.2014,14:25,1
206,38S,423031,4394846,Canis_aureus,14.11.2014,10:25,1
207,38S,425140,4390076,Vulpes_vulpes,13.09.2014,15:25,1
208,38S,425823,4373021,Spermophilus_xanthoprymnus,30.05.2014,22:50,2
209,38S,425849,4390187,Meles_meles,13.09.2014,02:20,1
210,38S,430606,4378775,Canis_lupus,20.03.2014,12:20,1
210,38S,430606,4378775,Erinaceus_concolor,20.03.2014,19:10,2
211,38S,433617,4376772,Canis_lupus,20.03.2014,13:20,2
212,38S,434049,4366205,Felis_silvestris,3.10.2014,11:40,1
213,38S,434594,4366772,Canis_aureus,3.10.2014,10:15,1
214,38S,435127,4394722,Vulpes_vulpes,27.10.2014,16:25,1
215,38S,435226,4372210,Felis_silvestris,4.09.2014,12:40,1
216,38S,435825,4370527,Canis_lupus,27.10.2014,14:20,1
216,38S,435825,4370527,Spermophilus_xanthoprymnus,27.10.2014,23:50,1
217,38S,435827,4372693,Erinaceus_concolor,27.10.2014,20:10,1
217,38S,435827,4372693,Ursus_arctos,27.10.2014,03:22,1
218,38S,435835,4369583,Sus_scrofa,4.09.2014,11:40,1
218,38S,435835,4369583,Vulpes_vulpes,4.09.2014,17:25,1
219,38S,435976,4365985,Meles_meles,12.10.2014,03:20,1
220,38S,436018,4372331,Erinaceus_concolor,27.10.2014,21:10,1
221,38S,436075,4370573,Mustela_nivalis,12.10.2014,20:15,1
222,38S,443343,4400117,Mustela_nivalis,24.12.2014,21:15,1
223,38S,446446,4362902,Canis_lupus,12.04.2014,15:20,1
224,38S,447099,4363420,Vulpes_vulpes,12.04.2014,18:25,1
225,38S,448011,4399946,Vulpes_vulpes,24.12.2014,19:25,1
226,38S,448838,4374180,Ursus_arctos,24.12.2014,04:22,1
227,38S,449497,4373035,Canis_aureus,24.12.2014,08:30,1
227,38S,449497,4373035,Meles_meles,24.12.2014,04:20,1
